secID,股票名称,题材,题材汇总,涨停原因,题材（G）,tradeDate
600206.XSHG,有研新材,稀土永磁,"稀土永磁 军工 芯片,稀土永磁",稀土磁材 公司打造稀土金属-稀土磁性更多...,芯片概念 中芯国际概念 OLED 新材料概念 稀土永磁 小金属概念 军工 华为概念 5G 标普道琼斯A股 医疗器械概念 雄安新区 牙科医疗 国企改革 京津冀一体化 固态电池 央企国企改革 OLED材料 砷化镓 靶材 钌催化剂,2024-11-08
600210.XSHG,紫江企业,新能源汽车,"固态电池,新能源汽车,军工",固态电池 控股子公司紫江新材主营产品更多...,飞行汽车(eVTOL) 可降解塑料 固态电池 锂电池概念 创投 标普道琼斯A股 大飞机 节能环保 比亚迪概念 毫米波雷达 高股息精选 低空经济 新兴板概念,2024-11-08
600654.XSHG,中安科,华为产业链,华为产业链,华为产业链 全资子公司深圳豪恩与华为生更多...,网络安全 国产软件 智能交通 安防 智慧城市 华为概念 比亚迪概念 摘帽 2024中报预增 服务机器人 消防装备,2024-11-08
603222.XSHG,济民健康,海南自由贸易港,"海南自由贸易港,干细胞,公告 股权激励 医药,医药 合成生物,医药 医疗器械 合成生物",海南自由贸易港 公司子公司博鳌国际医院拥有更多...,细胞免疫治疗 抗原检测 民营医院 医疗器械概念 医美概念 幽门螺杆菌概念 生物医药 干细胞 体外诊断,2024-11-08
603366.XSHG,日出东方,新能源汽车,"光伏 家电,热泵 储能 光伏,新能源汽车,光伏",新能源汽车 公司携手华为打造苏北首座全更多...,家用电器 建筑节能 网红经济 创投 区块链 快手概念 光伏概念 空气能热泵 储能 智能制造 参股民营银行 太阳能,2024-11-08
603955.XSHG,大千生态,股权转让,"股权转让,环保,园林 旅游,其他,园林,新型城镇化,环保 园林 碳中和",股权转让 公司控股股东拟由大千投资变更多...,新型城镇化 PPP概念 雄安新区 特色小镇 碳中和 旅游概念 园林开发 美丽中国,2024-11-08
000605.XSHE,渤海股份,环保,"环保,其他",环保 实控人天津市国资委；公司拥更多...,污水处理 固废处理 PPP概念 京津冀一体化 雄安新区 国企改革 养老概念 地方国企改革 天津国企改革,2024-11-08
000635.XSHE,英力特,其他,"氢能源/燃料电池,其他,光伏 氢能源,化工 氢能源 PVC,氢能源 光伏",国企改革 国家能源集团旗下，电石产品更多...,消毒剂 氢能源 国企改革 光伏概念 央企国企改革 2024中报预增 电石 PVC 4D打印,2024-11-08
600292.XSHG,远达环保,资产重组,"碳中和 环保 污水处理,环保,资产重组,环保 碳中和 核电,公告",资产重组 公司拟定增收购五凌电力10更多...,碳中和 污水处理 节能环保 PM2.5 土壤修复 PPP概念 期货概念 乡村振兴 国企改革 动力电池回收 绿色电力 央企国企改革 太阳能 节能减排 脱硫脱硝 美丽中国 电力改革 成渝特区 废气处理,2024-11-08
688262.XSHG,国芯科技科,国产芯片,国产芯片,国产芯片 公司研发的量子安全芯片和量更多...,汽车芯片 MCU芯片 国家大基金持股 芯片概念 汽车电子 数字货币 边缘计算 电子身份证 东数西算(算力) 比亚迪概念 量子科技 信创 先进封装 存储芯片 星闪概念 长安汽车概念 车联网(车路协同) 数据安全 无人驾驶 网络安全 数据存储 芯片设计,2024-11-08
000757.XSHE,浩物股份,新能源汽车,"新能源汽车 汽车服务 长安汽车,新能源汽车 汽车服务 华为汽车,新能源汽车,汽车服务 汽车产业链,新能源汽车 汽车服务,汽车服务 华为汽车",新能源汽车 公司为赛力斯问界M7及其他更多...,长安汽车概念 比亚迪概念 新能源汽车 华为汽车 疫苗存储 空气净化 二手车,2024-11-08
600841.XSHG,动力新科,上海国企改革,"换电概念,上海国企改革,新能源汽车 重卡 汽车零部件,重卡 汽车整车 汽车零部件,无人驾驶,无人驾驶 国企改革",上海国企改革 上海汽车工业集团旗下；公司更多...,换电概念 无人驾驶 工业4.0 上海国企改革 氢能源 新能源汽车 国企改革 智能制造 工业互联网 汽车芯片 地方国企改革 汽车制造概念 含B股,2024-11-08
002298.XSHE,中电兴发,信创,"信创,国产软件 储能 算力 新能源汽车 机器人,算力,闪存,磁电存储,新质生产力,人工智能 储能 算力 闪存 机器人",国产软件 公司主营电气设备及智慧城市更多...,智慧政务 数据安全 云计算 智能电网 充电桩 安防 无人机 PPP概念 5G 智慧城市 边缘计算 国产软件 储能 军工 碳中和 数据中心 数字乡村 虚拟电厂 信创 数字经济 电子商务 高铁 华为概念 AIGC概念 人工智能 物联网 大数据 东数西算(算力) 智能交通 时空大数据 工业互联网 网络安全 消费电子概念 人脸识别 数据要素 电力物联网 传感器 无线充电 智能制造 机器视觉 军工信息化 光伏建筑一体化 轨道交通 数据存储 光纤 安徽自贸区 共享汽车 共享经济 反恐 锌电池 元器件,2024-11-08
300173.XSHE,福能东方,锂电池,"锂电池 智能制造 机器人,锂电池",新能源汽车 公司向宁德时代销售包装机、更多...,新型工业化 智能制造 新能源汽车 锂电池概念 无线耳机 宁德时代概念 数据中心 国企改革 算力租赁 华为概念 LG概念 地方国企改革 锂电设备 工业机器人 3D玻璃 环保包装 广东国企改革,2024-11-08
601828.XSHG,美凯龙,房地产,房地产,房地产 家具平台龙头，此前建发股份更多...,网络直播 新零售 国企改革 腾讯概念 阿里巴巴概念 标普道琼斯A股 进口博览会 地方国企改革 参股新股,2024-11-08
002290.XSHE,禾盛新材,其他,"家电,其他",其他 国内知名的家电用复合材料生更多...,家用电器 文化传媒概念 股权转让 人工智能 智能制造,2024-11-08
002622.XSHE,皓宸医疗,医药,"民营医院,医院 口腔,医药",医药 控股子公司德伦医疗是华南地更多...,牙科医疗 民营医院 智能医疗 智能电网 参股银行 健康中国 医美概念,2024-11-08
600110.XSHG,诺德股份,新能源汽车,新能源汽车,新能源汽车 锂电铜箔占有率行业领先企业更多...,固态电池 锂电池概念 宁德时代概念 新能源汽车 特斯拉概念 核电 MSCI概念 比亚迪概念 PET铜箔 光伏概念 PCB概念 LG概念 覆铜板概念 中国科学院系,2024-11-08
603918.XSHG,金桥信息,华为产业链,"机器人 人工智能 ChatGPT,数据确权 人工智能,数字经济 信创 人工智能 数据要素,信创,链区块 信创,人工智能 阿里大模型,数字经济 信创 人工智能 智慧政务 时空大数据,数据要素 数据确权 人工智能,华为产业链,人工智能 ChatGPT,人工智能,数据要素 人工智能,机器人 人工智能 国产软件",国产软件 多媒体信息系统领先企业；公更多...,数据确权 智慧政务 云办公 上海自贸区 华为概念 蚂蚁金服概念 信创 Web3.0 在线教育 人工智能 互联网金融 智能医疗 金融科技 智慧党建,2024-11-08
002383.XSHE,合众思壮,军工,"卫星互联网,军工 卫星导航 低空经济,军工,卫星互联网 芯片,无人驾驶,芯片 卫星互联网 公告 拟股权转让",军工 公司实控人河南省财政厅，旗更多...,时空大数据 卫星导航 低空经济 智能交通 智慧城市 芯片概念 大数据 标普道琼斯A股 华为概念 无人驾驶 北交所概念 数字乡村 车联网(车路协同) 新型城镇化 水利 农机 国企改革 数字经济 智慧灯杆 电子商务 无人机 商业航天 国产软件 地方国企改革 河南国企改革 航空航天 遥感技术,2024-11-08
600619.XSHG,海立股份,上海国企改革,"光刻机(胶),上海国企改革,光刻机+汽车热管理+上海国资,芯片 光刻机；新能源汽车,国产芯片,光刻机,汽车零部件 电机 家电,芯片 光刻机(胶) 新能源汽车",上海国企改革 公司为上海微电子装备集团设更多...,空气能热泵 家用电器 冷链物流 上海国企改革 新能源汽车 汽车热管理 国企改革 比亚迪概念 光刻机 上海自贸区 智能制造 2024中报预增 地方国企改革 北汽新能源 含B股,2024-11-08
601698.XSHG,中国卫通,卫星互联网,"卫星互联网,卫星互联网 北斗导航 6G,卫星互联网 6G 数字经济 中字头,卫星互联网 6G 军工,卫星互联网 6G 数字经济,6G 数字经济 中字头,6G 中字头 军工 5G,业绩增长,6G",卫星互联网 我国唯一拥有通信卫星资源且更多...,商业航天 军工 6G概念 一带一路 中字头股票 国企改革 低空经济 央企国企改革 2024中报预增,2024-11-08
002651.XSHE,利君股份,军工,"军工 大飞机 通用航空,卫星互联网,机器人 大飞机 业绩增长,军工",军工 公司全资子公司成都德坤航空更多...,商业航天 成飞概念 大飞机 高端装备 节能环保 军工 无人机 通用航空 军民融合 机器人概念 航空航天,2024-11-08
603116.XSHG,红蜻蜓,大消费,"纺织服装 电商 消费,大消费,消费",大消费 公司为国内优质鞋企，在第三更多...,新零售 电子商务 C2M概念 跨境电商 高股息精选 参股民营银行,2024-11-08
600536.XSHG,中国软件,国产软件,"信创,国产软件 国产操作系统 国资云,边缘计算 人工智能 中字头 网络安全,国产软件",国产软件 公司拥有完整的从操作系统等更多...,华为欧拉 国产操作系统 信创 中字头股票 云计算 国产软件 网络安全 智慧城市 标普道琼斯A股 MSCI概念 数字经济 电子身份证 京津冀一体化 参股新三板 数据安全 乡村振兴 国企改革 华为概念 数据中心 央企国企改革 财税数字化 智慧政务 北京自贸区 智慧党建 参股新股,2024-11-08
600653.XSHG,申华控股,国企改革,"新能源汽车,高管增持,业绩增长 汽车服务 新能源汽车,其他,教育 汽车销售,汽车服务 增持,国企改革",国企改革 实控人沈阳市国资委，公司主更多...,职业教育 垃圾分类 国企改革 光伏概念 物业管理 地方国企改革 二手车 汽车关税下调 辽宁国企改革,2024-11-08
002848.XSHE,高斯贝尔,国企改革,"家电 卫星互联网 PCB板,卫星互联网,光通信 家电,其他,光通信 人工智能 算力 国企改革,光通信 人工智能 算力,光通信 PCB 5G 卫星互联网,家电 卫星互联网 PAB板,华为产业链 光通信 覆铜板 5G,华为产业链 光通信 覆铜板 卫星互联网,5G,国企改革",5G 公司微波介质陶瓷天线是微波更多...,数字经济 华为概念 智能家居 5G 超清视频 军工 PCB概念 卫星导航 医疗器械概念 国企改革 新材料概念 新基建 覆铜板概念 地方国企改革,2024-11-08
300379.XSHE,东方通创,华为产业链,"华为产业链,数字人民币",华为产业链 公司是华为战略合作伙伴，生更多...,数据安全 华为鲲鹏 华为欧拉 国产软件 云计算 大数据 网络安全 人工智能 军工 5G 华为概念 ETC 区块链 工业互联网 国产操作系统 跨境支付(CIPS) 信创 职业教育 智慧政务 虚拟现实 数据确权 阿里巴巴概念 AIGC概念 ChatGPT概念 数据要素 多模态AI 军工信息化 车联网(车路协同) 密码安全管理 机器学习,2024-11-08
301222.XSHE,浙江恒威,其他,其他,其他 公司专业从事高性能环保锌锰更多...,智能制造 人民币贬值受益 工业互联网 外贸受益概念,2024-11-08
002765.XSHE,蓝黛科技,新能源汽车,"汽车零部件,汽车零部件 汽车压铸一体化 军工,军工 机器人 新能源汽车,新能源汽车",新能源汽车 行业内生产变速器总成的规模更多...,长安汽车概念 减速器 华为汽车 军工 虚拟现实 新能源汽车 比亚迪概念 智能座舱 低空经济 成渝特区 触摸屏,2024-11-08
002826.XSHE,易明医药,医药,"医药 中药 医药生物,医药 医药生物 糖尿病药,医药",医药 公司生产的适用于2型糖尿病更多...,仿制药一致性评价 2024中报预增 仿制药 医保目录 中医药,2024-11-08
688656.XSHG,浩欧博科,股权转让,"股权转让,医药",股权转让 中国生物制药拟收购公司最多更多...,,2024-11-08
688691.XSHG,灿芯股份科,国产芯片,国产芯片,国产芯片 公司是全球第五、境内第二的更多...,科创次新股 存储芯片 集成电路概念 注册制次新股 新股与次新股 专精特新 芯片概念 上海自贸区 5G 卫星导航,2024-11-08
603360.XSHG,百傲化学,资产重组,"资产重组,化工 农药,化工 农药 农业",国产芯片 全资子公司芯傲华拟以7亿元更多...,化学制品（行业） 芯片概念 消毒剂,2024-11-08
603131.XSHG,上海沪工,卫星互联网,"卫星互联网,卫星互联网 航天 机器人,卫星互联网 机器人,卫星互联网 航天 军工 机器人,卫星互联网 机器人 通信,卫星互联网 航天 军工,卫星互联网 北斗导航",卫星互联网 公司的航天业务板块由两部分更多...,商业航天 卫星导航 军工 工业4.0 机器人概念 新能源汽车 长三角一体化 海工装备 专精特新 智能制造 工业母机 工业机器人,2024-11-08
002796.XSHE,世嘉科技,5G,"6G 军工 5G,卫星互联网,其他,通信 5.5G 滤波器,5G 储能,5G 通信设备 滤波器,储能 5G,天线 低空经济 5G-A,5G,6G",5G 1、行业内为数不多同时拥有更多...,6G概念 5G 军工 医疗器械概念 储能 2024中报预增 射频器 电梯概念 通信基站,2024-11-08
002889.XSHE,东方嘉盛,光刻机（胶,"光刻机(胶) 芯片 AI智能报关,光刻机 机器人 华为,物流 一带一路,物流 一带一路 机器人,跨境电商 物流,跨境电商 人工智能 数字经济,光刻机（胶）,国产芯片,光刻机（胶,光刻机(胶) 物流,光刻机(胶) 芯片 AI智能报关 业绩增长,跨境电商 光刻胶 机器人 半导体,光刻机(胶) 机器人 上海自贸区,快递物流 光刻胶（机）,光刻机(胶) 机器人 AI智能报关",国产芯片 公司与国际头部芯片光刻机厂更多...,光刻机 人工智能 华为概念 跨境电商 大数据 电子商务 智能物流 供应链金融 特斯拉概念 冷链物流 生物疫苗 统一大市场 自由贸易港 一带一路 数字经济 机器人概念 快递,2024-11-08
688584.XSHG,上海合晶科,国产芯片,国产芯片,国产芯片 公司主要产品为半导体硅外延更多...,,2024-11-08
600936.XSHG,广西广电,其他,"传媒 数据要素 人工智能 实控人变更,其他,传媒 数据要素,数据要素,传媒 数据要素 影视 消费,传媒,传媒 数据要素 人工智能",其他 1、公司拥有融合媒体云平台更多...,文化传媒概念 数字乡村 大数据 国企改革 乡村振兴 广播电视 地方国企改革,2024-11-08
603283.XSHG,赛腾股份,苹果产业链,"苹果产业链,半导体设备 芯片 消费电子,芯片 公告 股权激励,芯片,芯片 一季报增长,芯片 半导体设备 消费电子",苹果产业链 1、公司主营自动化组装、检更多...,同花顺果指数 无线耳机 苹果概念 工业4.0 芯片概念 标普道琼斯A股 集成电路概念 特斯拉概念 新能源汽车 锂电池概念 英伟达概念 新型工业化 芯片封装测试,2024-11-08
688653.XSHG,康希通信科,车联网/车路云,"次新 车联网 半导体,车联网/车路云",国产芯片 公司主要从事Wi-Fi射频更多...,科创次新股 注册制次新股 星闪概念 芯片概念 物联网 智能家居 新股与次新股 WiFi 6 车联网(车路协同) 集成电路概念 智能音箱 专精特新 上海自贸区,2024-11-08
600518.XSHG,康美药业,医药,"ST摘帽,医药",医药 国内中医药产业中业务链条较更多...,2024中报预增 互联网医疗 生物医药 流感 民营医院 健康中国 医疗器械概念 医药电商 摘帽 维生素 贸易战受益股 儿童医药医疗 融资租赁 中医药 医保目录 人参 冬虫夏草,2024-11-08
603068.XSHG,博通集成,国产芯片,"芯片 智能音箱,集成电路 半导体 无人机 华为,国产芯片,半导体,半导体 无人机",国产芯片 公司主营无线通讯集成电路芯更多...,汽车芯片 MCU芯片 集成电路概念 芯片概念 ETC 上海自贸区 无人机 华为概念 无线耳机 卫星导航 物联网 智能交通 消费电子概念 小米概念 WiFi 6 无人驾驶 智能音箱 星闪概念 毫米波雷达 人工智能 智能家居 传感器 鸿蒙概念,2024-11-08
002348.XSHE,高乐股份,大消费,"教育 机器人,固态电池,大消费,优化生育（三孩）",大消费 国内电子电动塑胶玩具出口龙更多...,在线教育 人工智能 三胎概念 3D打印 股权转让 固态电池 跨境电商 钠离子电池 盲盒 IP概念 服务机器人 迪士尼,2024-11-08
688530.XSHG,欧莱新材科,国产芯片,"国产芯片,次新 半导体",国产芯片 公司主营业务为高性能溅射靶更多...,科创次新股 注册制次新股 专精特新 新股与次新股 PET铜箔 新材料概念 HJT电池 光伏概念,2024-11-08
002685.XSHE,华东重机,资产重组,"智能制造 工业自动化 工业母机,光伏 机械 工业母机 工业自动化,工业母机 机器人 光伏,智能制造 工业自动化 机器人,资产重组,工业母机,工业母机 机器人,国产芯片,机器人,更多...,智能制造,新型工业化 工业母机 机器人,公告 国产芯片,公告",资产重组 1、公司拟收购锐信图芯股权更多...,工业母机 高端装备 新型工业化 航运概念 工业4.0 一带一路 机器人概念 光伏概念 TOPCON电池 智能制造 股权转让 2024中报预增 芯片概念 机械装备,2024-11-08
301269.XSHE,华大九天,国产芯片,国产芯片,国产芯片 国产EDA龙头，大股东为中更多...,国家大基金持股 集成电路概念 先进封装 华为概念 专精特新 小米概念 信创 EDA设计软件,2024-11-08
002501.XSHE,利源股份,苹果产业链,"苹果产业链,有色金属,其他",苹果产业链 1、苹果笔记本电脑外壳及主更多...,光伏概念 新能源汽车 军工 轨道交通 有色铝,2024-11-08
603052.XSHG,可川科技,华为产业链,"消费电子 MR头显 OLED,手机产业链 光通信 新能源汽车 锂电池 MR,消费电子 锂电池 光通信 OLED,手机产业链,手机产业链 光通信,锂电池 新能源汽车 光通信 MR,消费电子 光通信 VR&AR MR,华为产业链,消费电子 锂电池 光通信 次新,VRAR,消费电子 锂电池 光通信,更多...",华为产业链 1、公司主营功能性器件的研更多...,新能源汽车 锂电池概念 宁德时代概念 消费电子概念 共封装光学(CPO) OLED 固态电池,2024-11-08
300991.XSHE,创益通创,铜缆高速连接器,"铜缆高速连接器,消费电子 新能源汽车 5G",5G 1、连接器行业优势企业；公更多...,铜缆高速连接 消费电子概念 5G 小米概念 新能源汽车 专精特新 比亚迪概念 工业母机 数据存储 通信基站,2024-11-08
603859.XSHG,能科科技,机器人,"机器人,智能制造,军工",机器人 公司为客户提供以工业互联网更多...,军工信息化 信创 国产软件 军民融合 工业4.0 工业互联网 军工 数字孪生 华为概念 智能制造 大飞机 数字经济 新型工业化 大数据 AIGC概念 人工智能 5G ChatGPT概念 高端装备 数据要素 商业航天 核电 轨道交通 能源互联网,2024-11-08
002165.XSHE,红宝丽,低价股,"光刻机(胶) 环氧丙烷,低价股,光刻胶 化工,光刻机(胶) 环氧丙烷 新材料",国产芯片 公司一异丙醇胺可用于电子化更多...,化学制品（行业） 环氧丙烷 光刻胶 新材料概念 建筑节能 壳资源 2024中报预增,2024-11-08
000608.XSHE,阳光股份,房地产,"破净股 房地产,房地产+商业运营管理+西部大开发+破净股,房地产,房地产 破净股",房地产 北京、成都的小地产商，业态更多...,,2024-11-08
000639.XSHE,西王食品,大消费,"食品 食用油 食品安全,大消费",大消费 公司主营西王牌系列健康食用更多...,新零售 NMN概念 体育产业 健康中国 阿里巴巴概念 标普道琼斯A股 维生素 2024中报预增 食用油 保健品,2024-11-08
000977.XSHE,浪潮信息,东数西算/算力,"算力 人工智能,东数西算/算力,算力 人工智能 算力租赁,人工智能 算力",东数西算/算力 1、浪潮AI服务器市场份额更多...,液冷服务器 英伟达概念 国产操作系统 云计算 国产软件 智慧城市 人工智能 抖音概念 边缘计算 标普道琼斯A股 MSCI概念 数据中心 东数西算(算力) 国资云 元宇宙 信创 AIGC概念 国企改革 百度概念 算力租赁 无人驾驶 车联网(车路协同) 2024中报预增 美团概念股 地方国企改革 网易概念 机器学习 数据存储 国产替代 IPV6 超级计算机 山东国企改革,2024-11-08
001379.XSHE,腾达科技,其他,"次新 工业母机,卫星互联网,风电 卫星互联网,其他,不锈钢紧固件产品+商业航天+核电+次新股,不锈钢 核电 外贸,核电,风电,机械",卫星互联网 1、公司高温合金、特种合金更多...,商业航天 核电 智能制造 注册制次新股 新股与次新股 人民币贬值受益,2024-11-08
000066.XSHE,中国长城,国产芯片,"芯片 网络安全,国产芯片,芯片 网络安全 信创",国产芯片 1、公司参与承担的新一代人更多...,芯片概念 国产操作系统 集成电路概念 网络安全 车联网(车路协同) 军民融合 军工 锂电池概念 区块链 人工智能 智慧城市 大数据 云计算 海工装备 互联网医疗 国产软件 华为概念 标普道琼斯A股 MSCI概念 量子科技 数据中心 5G 卫星导航 汽车电子 中字头股票 钠离子电池 分拆上市意愿 东数西算(算力) 数字经济 粤港澳大湾区 信创 国企改革 数据安全 液冷服务器 华为鲲鹏 AI PC 央企国企改革 谷歌概念 挖矿设备 TMT,2024-11-08
002196.XSHE,方正电机,新能源汽车,"新能源汽车,汽车零部件 汽车产业链,新能源汽车 电机,公告 终止定增 汽车产业链,汽车产业链,新能源汽车 汽车零部件",新能源汽车 新能源汽车驱动电机领先厂商更多...,共同富裕示范区 新能源汽车 机器人概念 特斯拉概念 国企改革 扁线电机 小鹏汽车概念 蔚来汽车概念 国六概念 地方国企改革 电机电控 新能源物流车 小额贷款 节能电机,2024-11-08
605218.XSHG,伟时电子,其他,"AI PIN概念 VR MR头显 消费电子 华为汽车,背光显示模组+VR+空中成像+华为汽车,VR MR头显 消费电子,其他,VR&AR 汽车零部件,光学光电子 消费电子 新能源汽车,VR&AR LED OLED 汽车零部件,消费电子 VR OLED 汽车零部件,光学光电子 VR 消费电子 华为汽车,VRAR,AI PIN概念 VR 车载背光显示模组 消费电子 华为汽车,消费电子 VR&AR 新能源汽车,VR&AR",其他 1、公司已开展将热弯曲面玻更多...,消费电子概念 虚拟现实 比亚迪概念 特斯拉概念 MiniLED OLED 汽车电子 长安汽车概念 facebook概念,2024-11-08
002652.XSHE,扬子新材,其他,"基建,其他,基建 股权转让,医药 减肥药 建材,柔性屏 新材料,医药 减肥药 注射笔,基建 新型城镇化",其他 公司主营有机涂层板及其基板更多...,雄安新区 新材料概念 2024中报预增,2024-11-08
600666.XSHG,奥瑞德,东数西算/算力,"东数西算/算力,其他",东数西算/算力 1、公司全资子公司投资建设更多...,ST板块 算力租赁 东数西算(算力) 高端装备 OLED 黑龙江自贸区 2024中报预增 3D玻璃 蓝宝石,2024-11-08
600732.XSHG,爱旭股份,光伏,"光伏 太阳能电池,光伏 BC电池,光伏",光伏 全球太阳能电池的主要供应商更多...,BC电池 TOPCON电池 光伏概念,2024-11-08
600345.XSHG,长江通信,光纤概念,"北斗导航 光通信 5G,5G 算力 人工智能,光纤概念,光通信,北斗导航 光通信,人工智能,车联网 低空经济,车联网 智能交通 卫星导航 华为,算力 人工智能 光通信 VR,算力 人工智能 光通信",光纤概念 公司参股公司长飞光纤是世界更多...,智能交通 车联网(车路协同) 智慧城市 5G 卫星导航 标普道琼斯A股 国企改革 人工智能 数据要素 华为概念 央企国企改革 VR设备 光纤光缆 武汉自贸区 宽带中国 光纤,2024-11-08
605398.XSHG,新炬网络,华为产业链,"信创 数据要素 数据中心,信创 数字经济 人工智能 数据中心,数据中心 算力 数据要素 人工智能,数据中心 算力 一季报增长 数据要素 人工智能,信创 华为产业链,信创 数据要素 算力,数据中心 算力 人工智能 华为产业链,信创 数字经济 人工智能,华为产业链,东数西算/算力,华为产业链 算力 数字经济 国产软件 数据要素 信创,信创 数据中心 华为数据库合作,华为海思,国产软件 数据要素,信创 数据要素 数据资产管理",华为产业链 公司是一家以IT数据中心运更多...,国产软件 信创 数字经济 大数据 华为概念 数据中心 华为鲲鹏 长三角一体化 人工智能 百度概念 MLOps概念 阿里巴巴概念,2024-11-08
000716.XSHE,黑芝麻,大消费,"食品饮料 消费 业绩预增,大消费,食品饮料 消费",大消费 1、我国糊类食品龙头企业；更多...,网红经济 网络直播 跨境电商 参股新三板 电子商务 锂电池概念 农业种植 乡村振兴 新能源汽车 粮食概念 一带一路 储能 新零售,2024-11-08
301578.XSHE,辰奕智能,机器人,"机器人,华为产业链,消费电子 华为 机器人,华为产业链 VR&AR",机器人 1、公司生产的掌控板产品主更多...,注册制次新股 消费电子概念 小米概念 华为概念 智能家居 新股与次新股 人脸识别 人民币贬值受益 鸿蒙概念 星闪概念 物联网 机器人概念 家用电器,2024-11-08
688549.XSHG,中巨芯科,国产芯片,国产芯片,国产芯片 公司主要从事电子湿化学品、更多...,光刻胶 国家大基金持股 先进封装 科创次新股 注册制次新股 新股与次新股 中芯国际概念 集成电路概念 芯片概念,2024-11-08
