secID,名称,首次,最后,价格,连板,涨幅%,题材,涨停原因,题材（G）,tradeDate
002685.XSHE,华东重机,09:58,10:44,8.21,1,10.05,资产重组,资产重组 1、公司拟收购锐信图芯股权更多...,工业母机 高端装备 新型工业化 航运概念 工业4.0 一带一路 机器人概念 光伏概念 TOPCON电池 智能制造 股权转让 2024中报预增 芯片概念 机械装备,2024-11-08
301269.XSHE,华大九天,10:33,10:48,124.62,1,20.0,国产芯片,国产芯片 国产EDA龙头，大股东为中更多...,国家大基金持股 集成电路概念 先进封装 华为概念 专精特新 小米概念 信创 EDA设计软件,2024-11-08
002501.XSHE,利源股份,10:49,10:53,1.87,1,10.0,苹果产业链,苹果产业链 1、苹果笔记本电脑外壳及主更多...,光伏概念 新能源汽车 军工 轨道交通 有色铝,2024-11-08
603052.XSHG,可川科技,09:33,10:55,46.46,1,9.99,华为产业链,华为产业链 1、公司主营功能性器件的研更多...,新能源汽车 锂电池概念 宁德时代概念 消费电子概念 共封装光学(CPO) OLED 固态电池,2024-11-08
300991.XSHE,创益通创,10:56,10:56,22.73,1,20.01,铜缆高速连接器,5G 1、连接器行业优势企业；公更多...,铜缆高速连接 消费电子概念 5G 小米概念 新能源汽车 专精特新 比亚迪概念 工业母机 数据存储 通信基站,2024-11-08
603859.XSHG,能科科技,10:05,11:06,34.33,1,10.0,机器人,机器人 公司为客户提供以工业互联网更多...,军工信息化 信创 国产软件 军民融合 工业4.0 工业互联网 军工 数字孪生 华为概念 智能制造 大飞机 数字经济 新型工业化 大数据 AIGC概念 人工智能 5G ChatGPT概念 高端装备 数据要素 商业航天 核电 轨道交通 能源互联网,2024-11-08
002165.XSHE,红宝丽,11:09,11:09,4.46,1,10.12,低价股,国产芯片 公司一异丙醇胺可用于电子化更多...,化学制品（行业） 环氧丙烷 光刻胶 新材料概念 建筑节能 壳资源 2024中报预增,2024-11-08
000608.XSHE,阳光股份,09:25,11:18,3.03,2,10.18,房地产,房地产 北京、成都的小地产商，业态更多...,,2024-11-08
000639.XSHE,西王食品,09:25,11:24,5.15,5,10.04,大消费,大消费 公司主营西王牌系列健康食用更多...,新零售 NMN概念 体育产业 健康中国 阿里巴巴概念 标普道琼斯A股 维生素 2024中报预增 食用油 保健品,2024-11-08
000977.XSHE,浪潮信息,10:55,11:27,51.71,1,10.0,东数西算/算力,东数西算/算力 1、浪潮AI服务器市场份额更多...,液冷服务器 英伟达概念 国产操作系统 云计算 国产软件 智慧城市 人工智能 抖音概念 边缘计算 标普道琼斯A股 MSCI概念 数据中心 东数西算(算力) 国资云 元宇宙 信创 AIGC概念 国企改革 百度概念 算力租赁 无人驾驶 车联网(车路协同) 2024中报预增 美团概念股 地方国企改革 网易概念 机器学习 数据存储 国产替代 IPV6 超级计算机 山东国企改革,2024-11-08
001379.XSHE,腾达科技,09:31,11:29,30.2,2,10.02,其他,卫星互联网 1、公司高温合金、特种合金更多...,商业航天 核电 智能制造 注册制次新股 新股与次新股 人民币贬值受益,2024-11-08
000066.XSHE,中国长城,09:48,13:00,22.36,3,9.99,国产芯片,国产芯片 1、公司参与承担的新一代人更多...,芯片概念 国产操作系统 集成电路概念 网络安全 车联网(车路协同) 军民融合 军工 锂电池概念 区块链 人工智能 智慧城市 大数据 云计算 海工装备 互联网医疗 国产软件 华为概念 标普道琼斯A股 MSCI概念 量子科技 数据中心 5G 卫星导航 汽车电子 中字头股票 钠离子电池 分拆上市意愿 东数西算(算力) 数字经济 粤港澳大湾区 信创 国企改革 数据安全 液冷服务器 华为鲲鹏 AI PC 央企国企改革 谷歌概念 挖矿设备 TMT,2024-11-08
002196.XSHE,方正电机,09:49,13:00,6.29,1,9.97,新能源汽车,新能源汽车 新能源汽车驱动电机领先厂商更多...,共同富裕示范区 新能源汽车 机器人概念 特斯拉概念 国企改革 扁线电机 小鹏汽车概念 蔚来汽车概念 国六概念 地方国企改革 电机电控 新能源物流车 小额贷款 节能电机,2024-11-08
605218.XSHG,伟时电子,13:00,13:00,31.11,2,10.01,其他,其他 1、公司已开展将热弯曲面玻更多...,消费电子概念 虚拟现实 比亚迪概念 特斯拉概念 MiniLED OLED 汽车电子 长安汽车概念 facebook概念,2024-11-08
002652.XSHE,扬子新材,10:38,13:04,3.59,1,10.12,其他,其他 公司主营有机涂层板及其基板更多...,雄安新区 新材料概念 2024中报预增,2024-11-08
600666.XSHG,奥瑞德,09:34,13:04,2.81,2,10.2,东数西算/算力,东数西算/算力 1、公司全资子公司投资建设更多...,ST板块 算力租赁 东数西算(算力) 高端装备 OLED 黑龙江自贸区 2024中报预增 3D玻璃 蓝宝石,2024-11-08
600732.XSHG,爱旭股份,09:34,13:06,14.11,1,9.98,光伏,光伏 全球太阳能电池的主要供应商更多...,BC电池 TOPCON电池 光伏概念,2024-11-08
600345.XSHG,长江通信,13:13,13:13,21.15,1,9.98,光纤概念,光纤概念 公司参股公司长飞光纤是世界更多...,智能交通 车联网(车路协同) 智慧城市 5G 卫星导航 标普道琼斯A股 国企改革 人工智能 数据要素 华为概念 央企国企改革 VR设备 光纤光缆 武汉自贸区 宽带中国 光纤,2024-11-08
605398.XSHG,新炬网络,13:15,13:15,19.64,1,10.03,华为产业链,华为产业链 公司是一家以IT数据中心运更多...,国产软件 信创 数字经济 大数据 华为概念 数据中心 华为鲲鹏 长三角一体化 人工智能 百度概念 MLOps概念 阿里巴巴概念,2024-11-08
000716.XSHE,黑芝麻,09:25,13:16,7.87,6,10.07,大消费,大消费 1、我国糊类食品龙头企业；更多...,网红经济 网络直播 跨境电商 参股新三板 电子商务 锂电池概念 农业种植 乡村振兴 新能源汽车 粮食概念 一带一路 储能 新零售,2024-11-08
301578.XSHE,辰奕智能,13:02,13:16,63.76,1,20.01,机器人,机器人 1、公司生产的掌控板产品主更多...,注册制次新股 消费电子概念 小米概念 华为概念 智能家居 新股与次新股 人脸识别 人民币贬值受益 鸿蒙概念 星闪概念 物联网 机器人概念 家用电器,2024-11-08
688549.XSHG,中巨芯科,13:00,13:16,11.18,1,19.96,国产芯片,国产芯片 公司主要从事电子湿化学品、更多...,光刻胶 国家大基金持股 先进封装 科创次新股 注册制次新股 新股与次新股 中芯国际概念 集成电路概念 芯片概念,2024-11-08
603887.XSHG,城地香江,13:15,13:19,15.65,1,9.98,股权转让,股权转让 1、子公司香江科技主营ID更多...,算力租赁 腾讯概念 云计算 PPP概念 边缘计算 华为概念 阿里巴巴概念 数据中心 东数西算(算力),2024-11-08
600467.XSHG,好当家,09:31,13:22,2.86,2,10.0,大消费,大消费 公司为海参养殖龙头，拥有国更多...,新零售 乡村振兴 预制菜 流感 白酒概念 海洋经济,2024-11-08
002077.XSHE,大港股份,13:25,13:25,16.27,1,10.01,国产芯片,国产芯片 公司旗下艾科半导体作为国内更多...,汽车芯片 存储芯片 集成电路概念 节能环保 锂电池概念 芯片概念 创投 固废处理 先进封装 国企改革 激光 地方国企改革 芯片封装测试,2024-11-08
601727.XSHG,上海电气,09:51,13:27,12.3,1,10.02,资产重组,资产重组 公司拟30.82亿收购上海更多...,风电 债转股(AMC概念) 核电 高端装备 上海国企改革 一带一路 工业4.0 智能交通 独角兽概念 充电桩 机器人概念 燃料电池 分拆上市意愿 标普道琼斯A股 固废处理 航空发动机 大飞机 储能 氢能源 证金持股 工业母机 智能制造 超超临界发电 钒电池 国企改革 减速器 光伏概念 特高压 轨道交通 地方国企改革 人造太阳 海水淡化 太阳能 中巴经济走廊 融资租赁 海上风电 节能电机 参股新股,2024-11-08
000670.XSHE,盈方微,13:28,13:28,7.43,1,10.07,国产芯片,国产芯片 1、公司为Fabless模更多...,芯片概念 存储芯片 集成电路概念 智能穿戴 虚拟现实 小米概念 人民币贬值受益 国产软件 台湾概念股 芯片设计,2024-11-08
002681.XSHE,奋达科技,09:51,13:29,5.82,1,10.02,智能手表,华为产业链 公司产品包括智能手环、智能更多...,虚拟现实 华为概念 小米概念 智能穿戴 智能音箱 消费电子概念 互联网医疗 标普道琼斯A股 无线耳机 传感器 无线充电 机器人概念 人民币贬值受益 储能 血氧仪 智能家居 家用电器 电子商务 阿里巴巴概念 智能制造 新零售 体育产业 汽车电子 中俄贸易概念 人形机器人 跨境电商 人工智能 VR设备 智能手表,2024-11-08
002222.XSHE,福晶科技,09:50,13:33,35.23,1,9.99,国产芯片,国产芯片 1、公司曾通过欧洲代理选A更多...,虚拟现实 华为概念 无人驾驶 国企改革 人民币贬值受益 福建自贸区 激光 激光器 中国科学院系 元器件,2024-11-08
002693.XSHE,双成药业,13:34,13:34,30.78,1,10.01,国产芯片,国产芯片 公司拟收购奥拉股份，跨界转更多...,CRO概念 阿尔茨海默概念 辅助生殖 海南自贸区 肝炎概念 生物医药 抗肿瘤 仿制药 医保目录 抗癌 多肽药,2024-11-08
605298.XSHG,必得科技,13:32,13:34,13.26,1,10.04,其他,其他 轨道交通车辆配套领域领先企更多...,高铁 高端装备 专精特新 轨道交通,2024-11-08
002199.XSHE,东晶电子,10:46,13:35,10.71,1,9.96,股权转让,股权转让 第一大股东协议转让股份，公更多...,智能制造 壳资源 元器件,2024-11-08
002981.XSHE,朝阳科技,13:38,13:41,23.96,1,10.01,手机产业链,手机产业链 1、公司主营耳机和电声产品更多...,苹果概念 消费电子概念 无线耳机 小米概念 智能穿戴 虚拟现实 无人机 医疗器械概念 三星,2024-11-08
600279.XSHG,重庆港,13:42,13:43,5.02,1,10.09,国企改革,国企改革 重庆两江新区管委会旗下，公更多...,统一大市场 一带一路 国企改革 民爆概念 地方国企改革 航运港口 重庆自贸区 黄金水道 成渝特区 重庆国企改革,2024-11-08
002855.XSHE,捷荣技术,13:49,13:51,29.43,2,10.02,手机产业链,手机产业链 公司专注于精密模具、精密结更多...,消费电子概念 无线耳机 智能穿戴 华为概念 虚拟现实 智能制造 智能家居 储能 风电 VR设备 三星,2024-11-08
600481.XSHG,双良节能,13:18,13:51,7.51,1,9.96,光伏,光伏 还原炉设备龙头；公司光伏新更多...,硅能源 光热发电 光伏概念 节能环保 高端装备 工业4.0 工业互联网 碳中和 氢能源 超超临界发电 专精特新 液冷服务器 多晶硅 碳化硅 余热发电 空气净化 美丽中国 能源互联网 绿色消费 地热能,2024-11-08
002816.XSHE,和科达,13:54,13:54,18.47,1,10.01,手机产业链,手机产业链 国内清洗设备龙头，手机产业更多...,污水处理 ST板块 高压快充,2024-11-08
002456.XSHE,欧菲光,13:53,13:55,17.34,1,10.03,手机产业链,手机产业链 1、此前在Mate 60系更多...,消费电子概念 汽车电子 MR(混合现实) 小米概念 人脸识别 虚拟现实 OLED 智慧城市 车联网(车路协同) MSCI概念 华为概念 柔性屏(折叠屏) 标普道琼斯A股 传感器 无人驾驶 元宇宙 机器人概念 毫米波雷达 星闪概念 机器视觉 智能座舱 智能家居 2024中报预增 医疗器械概念 TOF镜头 增强现实 雷达 台湾概念股 屏下指纹技术 虹膜识别 智能汽车,2024-11-08
002849.XSHE,威星智能,09:58,13:57,17.82,1,10.0,东数西算/算力,东数西算/算力 1、公司主营IC卡智能燃气更多...,华为概念 物联网 专精特新 天然气 动力电池回收 锂电池概念 新基建 物联网应用层 SAAS 智能表,2024-11-08
600966.XSHG,博汇纸业,13:25,14:03,5.38,1,10.02,其他,其他 白卡纸龙头(选股宝)更多...,2024中报预增 以纸代塑概念 纸浆 人民币升值,2024-11-08
688172.XSHG,燕东微科,14:15,14:18,24.55,1,19.99,国产芯片,国产芯片 公司是一家集芯片设计、晶圆更多...,集成电路概念 芯片概念 国家大基金持股 国企改革 传感器 第三代半导体 地方国企改革 碳化硅 北京国企改革 参股新股,2024-11-08
